Activity,Counts
surfing,1025
swimming,932
fishing,459
spearfishing,350
bathing,166
wading/standing,158
diving,134
wading/standing,103
swimming,100
diving,80
surfing,62
body surfing,50
kayaking,37
surfing,36
jump/fell overboard,33
diving,32
wading/standing,32
diving,31
shark related activities,26
kayaking,20
surfing,19
floating,18
wading/standing,17
surfing,17
rowing,14
kayaking,13
fishing,13
kayaking,12
kayaking,11
diving,10
diving,10
diving,10
sailing,9
kayaking,9
jump/fell overboard,9
diving,9
surfing,9
sea disaster,8
playing,8
floating,7
diving,7
diving,7
kayaking,7
surfing,7
diving,7
spearfishing,6
playing,6
,6
jump/fell overboard,6
sea disaster,6
shipwreck,6
fishing,6
surfing,6
diving,5
wading/standing,5
rowing,5
boating,5
diving,5
surfing,5
swimming,5
shark related activities,5
surfing,5
kayaking,5
fishing,5
jump/fell overboard,4
jump/fell overboard,4
,4
diving,4
diving,4
diving,4
surfing,4
swimming,4
shark related activities,4
lifesaving,4
diving,4
surfing,4
boating,4
diving,4
,4
fishing,4
diving,4
fishing,4
fishing,4
,3
fishing,3
,3
wading/standing,3
fishing,3
fishing,3
diving,3
fishing,3
diving,3
diving,3
,3
suicide,3
floating,3
swimming,3
diving,3
surfing,3
,3
,3
diving,3
fishing,3
spearfishing,3
diving,3
,3
jump/fell overboard,3
spearfishing,3
boat capsized,3
boating,3
playing,3
fishing,3
diving,3
,3
wading/standing,3
fishing,3
fishing,3
shark related activities,3
,3
rowing,3
,3
boating,3
kayaking,3
swimming,2
cleaning fish,2
diving,2
fishing,2
surfing,2
,2
shark related activities,2
diving,2
boat capsized,2
spearfishing,2
rowing,2
swimming,2
spearfishing,2
diving,2
,2
shark related activities,2
surfing,2
bathing,2
plane crash,2
,2
boat capsized,2
,2
shark related activities,2
body surfing,2
surfing,2
,2
diving,2
diving,2
diving,2
spearfishing,2
fishing,2
diving,2
diving,2
shark related activities,2
fishing,2
shark related activities,2
,2
fishing,2
swimming,2
fishing,2
diving,2
fishing,2
,2
wading/standing,2
,2
fishing,2
diving,2
swimming,2
boat capsized,2
plane crash,2
diving,2
fishing,2
playing,2
shark related activities,2
fishing,2
jump/fell overboard,2
wading/standing,2
fishing,2
diving,2
surfing,2
spearfishing,2
body surfing,2
diving,2
swimming,2
surfing,2
diving,2
surfing,2
surfing,2
plane crash,2
diving,2
,2
,2
boat capsized,2
spearfishing,2
,2
spearfishing,2
swimming,2
spearfishing,2
swimming,2
surfing,2
swimming,2
swimming,2
swimming,2
,2
,2
,2
swimming,1
fishing,1
swimming,1
swimming,1
,1
fishing,1
swimming,1
,1
spearfishing,1
,1
,1
swimming,1
diving,1
diving,1
,1
wading/standing,1
,1
jump/fell overboard,1
,1
,1
,1
,1
wading/standing,1
,1
,1
swimming,1
fishing,1
diving,1
wading/standing,1
swimming,1
,1
,1
,1
,1
,1
,1
swimming,1
,1
,1
diving,1
,1
diving,1
,1
,1
diving,1
,1
fishing,1
,1
swimming,1
jump/fell overboard,1
,1
,1
,1
,1
,1
surfing,1
wading/standing,1
diving,1
,1
,1
,1
,1
spearfishing,1
diving,1
kayaking,1
spearfishing,1
,1
diving,1
fishing,1
jump/fell overboard,1
,1
swimming,1
swimming,1
,1
,1
,1
diving,1
,1
,1
,1
,1
,1
,1
fishing,1
wading/standing,1
,1
,1
fishing,1
kayaking,1
,1
,1
diving,1
swimming,1
diving,1
spearfishing,1
swimming,1
,1
swimming,1
,1
,1
,1
,1
,1
,1
swimming,1
swimming,1
,1
,1
swimming,1
,1
,1
,1
,1
fishing,1
diving,1
fishing,1
,1
diving,1
,1
,1
,1
,1
diving,1
,1
,1
,1
,1
,1
fishing,1
,1
,1
swimming,1
diving,1
spearfishing,1
,1
,1
,1
,1
spearfishing,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
swimming,1
diving,1
,1
,1
spearfishing,1
,1
,1
fishing,1
swimming,1
fishing,1
,1
fishing,1
fishing,1
fishing,1
fishing,1
,1
,1
,1
fishing,1
fishing,1
,1
,1
,1
,1
swimming,1
,1
,1
spearfishing,1
fishing,1
,1
swimming,1
swimming,1
swimming,1
,1
swimming,1
,1
spearfishing,1
,1
fishing,1
fishing,1
swimming,1
,1
fishing,1
,1
,1
,1
,1
swimming,1
,1
,1
,1
,1
swimming,1
,1
,1
jump/fell overboard,1
